时代,类型,性别,年龄段,人设（服装造型风格）,身材,特征,常见题材,人物生成提示词
现代,亚洲人,女,青年,利落职业西装女性,匀称,短发、干练气质,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a young Chinese woman, sharp business suit, short hair, calm eyes. [Right 2/3]: full-body turnaround (front, side, back), tailored dark suit, minimalist blouse, heels. Photorealistic, 8k."""
现代,亚洲人,男,青年,年轻西装精英男,偏瘦,细黑框眼镜、轻疲惫感,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a young Asian man, modern suit, glasses, tired intelligent eyes. [Right 2/3]: full-body turnaround, blue shirt, dark trousers, blazer, smart watch. Photorealistic, 8k."""
现代,欧洲人,女,成年人,商务正装女性,高挑,优雅盘发、正装,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a mature European woman, poised half-smile, tied-back hair. [Right 2/3]: full-body turnaround, executive suit, silk blouse, jewelry. Photorealistic, 8k."""
现代,非洲人,男,中年,深色正装中年男性,普通,灰发、威严,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a middle-aged African man, dignified gaze, gray hair. [Right 2/3]: full-body turnaround, premium dark suit, crisp shirt, polished shoes. Photorealistic, 8k."""
现代,机器人,中性,N/A,室内服务机器人,机械,圆润外壳、LCD屏幕脸,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a sleek indoor service robot's head, LCD glowing eyes. [Right 2/3]: full-body turnaround, white aerodynamic casing, internal sensors, hidden wheels. 8k resolution."""
现代,亚洲人,女,老年,职场资深导师造型,匀称,银发、中性西装、珍珠耳饰,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of an elderly Asian woman, wrinkled skin, silver hair, pearl earrings. [Right 2/3]: full-body turnaround, charcoal gray blazer, silk scarf, tailored trousers. 8k."""
现代,欧洲人,男,老年,职场元老人物,普通,灰胡须、羊绒大衣内搭正装,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of an elderly European man, bushy gray eyebrows, warm eyes. [Right 2/3]: full-body turnaround, wool overcoat, striped tie, spectacles. 8k."""
现代,亚洲人,女,青少年,清爽校服马尾少女,纤细,干净、青春、校服,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese school girl, ponytail, youthful skin. [Right 2/3]: full-body turnaround, modern school uniform, pleated skirt, backpack. 8k."""
现代,亚洲人,男,青少年,运动型校服少年,运动型,短发、护腕、球鞋,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese school boy, energetic eyes, short hair. [Right 2/3]: full-body turnaround, sports jacket, basketball shorts, sneakers. 8k."""
现代,欧洲人,女,青少年,学院风校服女生,纤细,齐肩发、知性,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a European teenage girl, sharp eyes, shoulder-length hair. [Right 2/3]: full-body turnaround, academy blazer, tie, loafers. 8k."""
现代,宠物狗,N/A,成年犬,校园金毛寻回犬,匀称,金色长毛、挂牌项圈,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a friendly Golden Retriever's face, warm eyes. [Right 2/3]: full-body turnaround, golden silky fur, school-themed red collar. 8k."""
现代,亚洲人,男,儿童,校园足球队小孩,瘦小,足球服、脏球鞋、汗珠,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an 8-year-old Chinese boy, messy hair, excited smile. [Right 2/3]: full-body turnaround, blue soccer jersey, knee socks, dirty sneakers. 8k."""
现代,亚洲人,女,儿童,校园舞蹈服小孩,纤细,芭蕾裙、丸子头,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a 6-year-old Asian girl, neat hair bun, pink ribbon. [Right 2/3]: full-body turnaround, pink tutu, leotard, ballet slippers. 8k."""
现代,亚洲人,女,成年,校园教师/职员造型,匀称,衬衫、长裙、教鞭/书本,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a young Asian teacher, gentle eyes, simple ponytail. [Right 2/3]: full-body turnaround, white shirt, floral long skirt, holding a tablet. 8k."""
现代,亚洲人,女,青年,简约都市风女性,匀称,中长发、温柔、风衣,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese urban woman, soft eyes, natural hair. [Right 2/3]: full-body turnaround, knitwear, long coat, canvas bag. 8k."""
现代,亚洲人,男,成年人,实用便装男性,普通,夹克、生活化、短靴,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an Asian man, faint stubble, kind eyes. [Right 2/3]: full-body turnaround, dark jacket, work trousers, practical shoes. 8k."""
现代,宠物狗,N/A,成年犬,都市柴犬,匀称,红色三角巾、憨厚,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Shiba Inu, squinting happy eyes. [Right 2/3]: full-body turnaround, orange and white fur, red neckerchief. 8k."""
现代,亚洲人,男,老年,晨练老者造型,瘦削,太极服、白发、红色宝剑,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly Asian man, deep wrinkles, calm expression. [Right 2/3]: full-body turnaround, white silk Tai-Chi suit, cloth shoes. 8k."""
现代,欧洲人,女,老年,都市漫步老妇人,匀称,花呢外套、珍珠、优雅,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly European lady, silver curls, elegant lipstick. [Right 2/3]: full-body turnaround, tweed jacket, silk scarf, walking cane. 8k."""
现代,亚洲人,女,儿童,雨天黄色雨衣小孩,瘦小,黄色雨帽、红色雨靴,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a small child's face under a yellow hood, rain droplets. [Right 2/3]: full-body turnaround, bright yellow raincoat, red boots, clear umbrella. 8k."""
现代,机器人,中性,N/A,都市配送无人车/机器人,机械,货仓结构、指示灯,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a delivery robot's sensor array and logo. [Right 2/3]: full-body turnaround, 4-wheel base, cargo box, digital screen face. 8k."""
近代,亚洲人,女,青年,旗袍短发女性,匀称,波浪短发、改良旗袍,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Republican-era woman, waved hair, alert eyes. [Right 2/3]: full-body turnaround, tailored qipao, low heels. 8k."""
近代,亚洲人,男,成年,制服/礼帽男性,普通,黑色制服、短发,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a man in period uniform, vintage cap, steady eyes. [Right 2/3]: full-body turnaround, black officer uniform, leather belt, boots. 8k."""
近代,亚洲人,男,儿童,报童/街头顽童,瘦小,报童帽、背带裤、脏脸,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a dirty 10-year-old boy, mischievous smile, vintage cap. [Right 2/3]: full-body turnaround, oversized shirt, suspenders, canvas bag. 8k."""
近代,亚洲人,男,老年,传统长衫老者,瘦削,白胡须、黑长衫,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly Chinese man, long white beard, wise eyes. [Right 2/3]: full-body turnaround, black silk changshan, cloth shoes. 8k."""
近代,欧洲人,女,青年,西式复古纱裙女性,高挑,羽毛头饰、蕾丝裙,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a European woman, 1920s headpiece, pearls. [Right 2/3]: full-body turnaround, drop-waist lace dress, feather boa. 8k."""
近代,亚洲人,女,儿童,民国学生裙女孩,纤细,双马尾、蓝布上衣,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a little girl, black pigtails, shy smile. [Right 2/3]: full-body turnaround, blue student blouse, black pleated skirt. 8k."""
古代,亚洲人,男,青年,素色长袍书生,偏瘦,发冠、清俊,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an ancient Chinese scholar, elegant hair crown. [Right 2/3]: full-body turnaround, layered Hanfu, cloth belt. 8k."""
